
Episode: 11, Reward: -110.69

Episode: 12, Reward: -130.47

Episode: 13, Reward: -120.50

Episode: 14, Reward: -114.74

Episode: 15, Reward: -120.34

Episode: 16, Reward: -114.75

Episode: 17, Reward: -133.77

Episode: 18, Reward: -105.36

Episode: 19, Reward: -120.38

Episode: 20, Reward: -113.70

Episode: 21, Reward: -104.24

Episode: 22, Reward: -106.80

Episode: 23, Reward: -103.15

Episode: 24, Reward: -109.38

Episode: 25, Reward: -208.10

Episode: 26, Reward: -106.79

Episode: 27, Reward: -123.42

Episode: 28, Reward: -119.20

Episode: 29, Reward: -114.22

Episode: 30, Reward: -106.61

Episode: 31, Reward: -114.21

Episode: 32, Reward: -102.27

Episode: 33, Reward: -116.50

Episode: 34, Reward: -108.14

Episode: 35, Reward: -110.16

Episode: 36, Reward: -209.60

Episode: 37, Reward: -120.69

Episode: 38, Reward: -103.42

Episode: 39, Reward: -115.99

Episode: 40, Reward: -107.69

Episode: 41, Reward: -109.93

Episode: 42, Reward: -125.49

Episode: 43, Reward: -106.86

Episode: 44, Reward: -127.69

Episode: 45, Reward: -105.69

Episode: 46, Reward: -103.19

Episode: 47, Reward: -107.89

Episode: 48, Reward: -117.39

Episode: 49, Reward: -112.05

Episode: 50, Reward: -106.44

Episode: 51, Reward: -103.29

Episode: 52, Reward: -121.15

Episode: 53, Reward: -117.87

Episode: 54, Reward: -104.56

Episode: 55, Reward: -105.69

Episode: 56, Reward: -100.12

Episode: 57, Reward: -95.03

Episode: 58, Reward: -101.28

Episode: 59, Reward: -130.01

Episode: 60, Reward: -115.82

Episode: 61, Reward: -111.50

Episode: 62, Reward: -104.09

Episode: 63, Reward: -106.41

Episode: 64, Reward: -106.41

Episode: 65, Reward: -115.45

Episode: 66, Reward: -113.63

Episode: 67, Reward: -113.68

Episode: 68, Reward: -117.39

Episode: 69, Reward: -118.77

Episode: 70, Reward: -117.54

Episode: 71, Reward: -102.37

Episode: 72, Reward: -158.52

Episode: 73, Reward: -115.20

Episode: 74, Reward: -104.76

Episode: 75, Reward: -117.31

Episode: 76, Reward: -103.57

Episode: 77, Reward: -103.97

Episode: 78, Reward: -105.28

Episode: 79, Reward: -111.32

Episode: 80, Reward: -126.41

Episode: 81, Reward: -104.06

Episode: 82, Reward: -106.68

Episode: 83, Reward: -116.55

Episode: 84, Reward: -124.87

Episode: 85, Reward: -102.64

Episode: 86, Reward: -107.37

Episode: 87, Reward: -102.94

Episode: 88, Reward: -114.88

Episode: 89, Reward: -99.21

Episode: 90, Reward: -120.52

Episode: 91, Reward: -119.85

Episode: 92, Reward: -115.22

Episode: 93, Reward: -111.34

Episode: 94, Reward: -118.26

Episode: 95, Reward: -113.28

Episode: 96, Reward: -117.18

Episode: 97, Reward: -96.84

Episode: 98, Reward: -105.09

Episode: 99, Reward: -100.71

Episode: 100, Reward: -109.72

Episode: 101, Reward: -104.63

Episode: 102, Reward: -110.61

Episode: 103, Reward: -108.01

Episode: 104, Reward: -113.71

Episode: 105, Reward: -109.10

Episode: 106, Reward: -112.85

Episode: 107, Reward: -114.04

Episode: 108, Reward: -105.93

Episode: 109, Reward: -115.34

Episode: 110, Reward: -111.32

Episode: 111, Reward: -108.19

Episode: 112, Reward: -98.12

Episode: 113, Reward: -105.26

Episode: 114, Reward: -111.73

Episode: 115, Reward: -91.75

Episode: 116, Reward: -103.21

Episode: 117, Reward: -105.95

Episode: 118, Reward: -107.14

Episode: 119, Reward: -105.65

Episode: 120, Reward: -105.40

Episode: 121, Reward: -103.08

Episode: 122, Reward: -97.00

Episode: 123, Reward: -109.69

Episode: 124, Reward: -94.76

Episode: 125, Reward: -109.80

Episode: 126, Reward: -102.96

Episode: 127, Reward: -102.47

Episode: 128, Reward: -88.67

Episode: 129, Reward: -101.85

Episode: 130, Reward: -105.84

Episode: 131, Reward: -102.33

Episode: 132, Reward: -99.17

Episode: 133, Reward: -106.70

Episode: 134, Reward: -124.61

Episode: 135, Reward: -102.42

Episode: 136, Reward: -99.25

Episode: 137, Reward: -94.78

Episode: 138, Reward: -107.35

Episode: 139, Reward: -101.47

Episode: 140, Reward: -114.28

Episode: 141, Reward: -107.81

Episode: 142, Reward: -114.15

Episode: 143, Reward: -112.86

Episode: 144, Reward: -91.95

Episode: 145, Reward: -111.86

Episode: 146, Reward: -119.03

Episode: 147, Reward: -88.52

Episode: 148, Reward: -116.37

Episode: 149, Reward: -109.70

Episode: 150, Reward: -89.59

Episode: 151, Reward: -114.74

Episode: 152, Reward: -86.88

Episode: 153, Reward: -94.11

Episode: 154, Reward: -108.68

Episode: 155, Reward: -113.80

Episode: 156, Reward: -113.26

Episode: 157, Reward: -117.64

Episode: 158, Reward: -109.14

Episode: 159, Reward: -77.33

Episode: 160, Reward: -110.31

Episode: 161, Reward: -122.64

Episode: 162, Reward: -112.85

Episode: 163, Reward: -88.88

Episode: 164, Reward: -117.11

Episode: 165, Reward: -109.63

Episode: 166, Reward: -115.84

Episode: 167, Reward: -109.71

Episode: 168, Reward: -77.58

Episode: 169, Reward: -109.11

Episode: 170, Reward: -94.31

Episode: 171, Reward: -108.37

Episode: 172, Reward: -115.84

Episode: 173, Reward: -103.89

Episode: 174, Reward: -97.89

Episode: 175, Reward: -113.54

Episode: 176, Reward: -112.07

Episode: 177, Reward: -92.96

Episode: 178, Reward: -110.99

Episode: 179, Reward: -92.11

Episode: 180, Reward: -90.06

Episode: 181, Reward: -119.27

Episode: 182, Reward: -121.74

Episode: 183, Reward: -105.21

Episode: 184, Reward: -125.24

Episode: 185, Reward: -89.40

Episode: 186, Reward: -72.93

Episode: 187, Reward: -93.99

Episode: 188, Reward: -104.61

Episode: 189, Reward: -114.15

Episode: 190, Reward: -89.71

Episode: 191, Reward: -119.61

Episode: 192, Reward: -93.94

Episode: 193, Reward: -91.74

Episode: 194, Reward: -115.75

Episode: 195, Reward: -96.39

Episode: 196, Reward: -98.58

Episode: 197, Reward: -118.50

Episode: 198, Reward: -116.96

Episode: 199, Reward: -103.74

Episode: 200, Reward: -115.22

Episode: 201, Reward: -92.57

Episode: 202, Reward: -92.35

Episode: 203, Reward: -130.16

Episode: 204, Reward: -93.32

Episode: 205, Reward: -92.66

Episode: 206, Reward: -116.34

Episode: 207, Reward: -93.43

Episode: 208, Reward: -89.14

Episode: 209, Reward: -93.59

Episode: 210, Reward: -88.69

Episode: 211, Reward: -104.47

Episode: 212, Reward: -87.14

Episode: 213, Reward: -75.48

Episode: 214, Reward: -87.29

Episode: 215, Reward: -78.96

Episode: 216, Reward: -81.03

Episode: 217, Reward: -75.54

Episode: 218, Reward: -74.86

Episode: 219, Reward: -87.60

Episode: 220, Reward: -93.21

Episode: 221, Reward: -79.42

Episode: 222, Reward: -79.13

Episode: 223, Reward: -79.24

Episode: 224, Reward: -75.72

Episode: 225, Reward: -75.88

Episode: 226, Reward: -78.62

Episode: 227, Reward: -74.53

Episode: 228, Reward: -70.95

Episode: 229, Reward: -66.29

Episode: 230, Reward: -86.04

Episode: 231, Reward: -73.15

Episode: 232, Reward: -71.86

Episode: 233, Reward: -70.96

Episode: 234, Reward: -112.82

Episode: 235, Reward: -115.26

Episode: 236, Reward: -110.00

Episode: 237, Reward: -119.42

Episode: 238, Reward: -166.21

Episode: 239, Reward: -66.79

Episode: 240, Reward: -123.27

Episode: 241, Reward: -72.87

Episode: 242, Reward: -148.82

Episode: 243, Reward: -72.13

Episode: 244, Reward: -69.54

Episode: 245, Reward: -61.62

Episode: 246, Reward: -71.43

Episode: 247, Reward: -89.03

Episode: 248, Reward: -76.46

Episode: 249, Reward: -116.37

Episode: 250, Reward: -82.49

Episode: 251, Reward: -111.23

Episode: 252, Reward: -136.97

Episode: 253, Reward: -109.61

Episode: 254, Reward: -153.22

Episode: 255, Reward: -67.35

Episode: 256, Reward: -65.91

Episode: 257, Reward: -66.12

Episode: 258, Reward: -70.25

Episode: 259, Reward: -79.33

Episode: 260, Reward: -72.10

Episode: 261, Reward: -121.49

Episode: 262, Reward: -81.94

Episode: 263, Reward: -87.87

Episode: 264, Reward: -84.71

Episode: 265, Reward: -155.79

Episode: 266, Reward: -115.52

Episode: 267, Reward: -61.64

Episode: 268, Reward: -61.18

Episode: 269, Reward: -170.76

Episode: 270, Reward: -71.29

Episode: 271, Reward: -67.65

Episode: 272, Reward: -59.98

Episode: 273, Reward: -71.68

Episode: 274, Reward: -69.11

Episode: 275, Reward: -64.59

Episode: 276, Reward: -70.53

Episode: 277, Reward: -79.76

Episode: 278, Reward: -112.43

Episode: 279, Reward: -58.26

Episode: 280, Reward: -56.94

Episode: 281, Reward: -63.38

Episode: 282, Reward: -86.79

Episode: 283, Reward: -68.94

Episode: 284, Reward: -78.87

Episode: 285, Reward: -75.03

Episode: 286, Reward: -72.23

Episode: 287, Reward: -71.35

Episode: 288, Reward: -60.04

Episode: 289, Reward: -78.52

Episode: 290, Reward: -92.07

Episode: 291, Reward: -68.44

Episode: 292, Reward: -65.13

Episode: 293, Reward: -110.00

Episode: 294, Reward: -58.16

Episode: 295, Reward: -56.80

Episode: 296, Reward: -61.91

Episode: 297, Reward: -58.07

Episode: 298, Reward: -61.89

Episode: 299, Reward: -69.83

Episode: 300, Reward: -57.53

Episode: 301, Reward: -57.85

Episode: 302, Reward: -67.52

Episode: 303, Reward: -147.59

Episode: 304, Reward: -59.65

Episode: 305, Reward: -50.71

Episode: 306, Reward: -52.59

Episode: 307, Reward: -55.59

Episode: 308, Reward: -127.67

Episode: 309, Reward: -49.89

Episode: 310, Reward: -52.56

Episode: 311, Reward: -52.44

Episode: 312, Reward: -84.79

Episode: 313, Reward: -62.76

Episode: 314, Reward: -53.16

Episode: 315, Reward: -51.96

Episode: 316, Reward: -72.82

Episode: 317, Reward: -54.27

Episode: 318, Reward: -120.43

Episode: 319, Reward: -67.13

Episode: 320, Reward: -54.98

Episode: 321, Reward: -55.97

Episode: 322, Reward: -54.63

Episode: 323, Reward: -44.88

Episode: 324, Reward: -51.44

Episode: 325, Reward: -46.68

Episode: 326, Reward: -50.66

Episode: 327, Reward: -59.40

Episode: 328, Reward: -108.54

Episode: 329, Reward: -57.68

Episode: 330, Reward: -66.40

Episode: 331, Reward: -164.47

Episode: 332, Reward: -71.23

Episode: 333, Reward: -112.01

Episode: 334, Reward: -45.21

Episode: 335, Reward: -60.91

Episode: 336, Reward: -54.53

Episode: 337, Reward: -51.86

Episode: 338, Reward: -65.44

Episode: 339, Reward: -53.94

Episode: 340, Reward: -38.67

Episode: 341, Reward: -49.90

Episode: 342, Reward: -63.37

Episode: 343, Reward: -54.67

Episode: 344, Reward: -67.17

Episode: 345, Reward: -54.10

Episode: 346, Reward: -66.46

Episode: 347, Reward: -48.98

Episode: 348, Reward: -74.67

Episode: 349, Reward: -145.32

Episode: 350, Reward: -75.61

Episode: 351, Reward: -65.95

Episode: 352, Reward: -52.35

Episode: 353, Reward: -37.97

Episode: 354, Reward: -67.89

Episode: 355, Reward: -52.43

Episode: 356, Reward: -50.54

Episode: 357, Reward: -41.30

Episode: 358, Reward: -54.40

Episode: 359, Reward: -36.59

Episode: 360, Reward: -43.07

Episode: 361, Reward: -51.17

